"Label (Grouping)","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Boston city, Massachusetts!!Percent","Boston city, Massachusetts!!Percent Margin of Error"
"        2 rooms","25,796","±3,274","8.4%","±1.1"
"        3 rooms","58,405","±3,455","19.0%","±1.1"
"        4 rooms","65,323","±4,127","21.2%","±1.3"
"        5 rooms","53,413","±4,272","17.4%","±1.4"
"        6 rooms","42,379","±3,760","13.8%","±1.2"
"        7 rooms","17,235","±2,488","5.6%","±0.8"
"        8 rooms","10,032","±1,961","3.3%","±0.6"
"        9 rooms or more","15,369","±1,943","5.0%","±0.6"
"        Median rooms","4.3","±0.2","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","307,836","±2,467","307,836","(X)"
"        No bedroom","22,757","±2,208","7.4%","±0.7"
"        1 bedroom","74,514","±4,188","24.2%","±1.3"
"        2 bedrooms","104,395","±6,058","33.9%","±1.9"
"        3 bedrooms","72,422","±4,162","23.5%","±1.4"
"        4 bedrooms","24,179","±2,545","7.9%","±0.8"
"        5 or more bedrooms","9,569","±1,715","3.1%","±0.6"
"HOUSING TENURE","","","",""
"    Occupied housing units","284,061","±3,318","284,061","(X)"
"        Owner-occupied","99,026","±4,744","34.9%","±1.7"
"        Renter-occupied","185,035","±5,564","65.1%","±1.7"
"        Average household size of owner-occupied unit","2.36","±0.07","(X)","(X)"
"        Average household size of renter-occupied unit","2.01","±0.04","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","284,061","±3,318","284,061","(X)"
"        Moved in 2021 or later","85,071","±4,513","29.9%","±1.5"
"        Moved in 2018 to 2020","63,121","±3,667","22.2%","±1.3"
"        Moved in 2010 to 2017","61,282","±3,884","21.6%","±1.4"
"        Moved in 2000 to 2009","37,349","±3,164","13.1%","±1.1"
"        Moved in 1990 to 1999","20,078","±2,172","7.1%","±0.8"
"        Moved in 1989 and earlier","17,160","±2,169","6.0%","±0.8"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","284,061","±3,318","284,061","(X)"
"        No vehicles available","99,291","±4,617","35.0%","±1.5"
"        1 vehicle available","119,745","±4,891","42.2%","±1.7"
"        2 vehicles available","48,595","±3,404","17.1%","±1.2"
"        3 or more vehicles available","16,430","±2,486","5.8%","±0.9"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","284,061","±3,318","284,061","(X)"
"        Utility gas","159,668","±4,561","56.2%","±1.5"
"        Bottled, tank, or LP gas","8,502","±1,710","3.0%","±0.6"
"        Electricity","88,499","±4,168","31.2%","±1.4"
"        Fuel oil, kerosene, etc.","19,498","±2,289","6.9%","±0.8"
"        Coal or coke","0","±222","0.0%","±0.1"
"        Wood","0","±222","0.0%","±0.1"
"        Solar energy","58","±69","0.0%","±0.1"
"        Other fuel","2,176","±962","0.8%","±0.3"
"        No fuel used","5,660","±1,572","2.0%","±0.6"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","284,061","±3,318","284,061","(X)"
"        Lacking complete plumbing facilities","1,231","±564","0.4%","±0.2"
"        Lacking complete kitchen facilities","2,959","±1,139","1.0%","±0.4"
"        No telephone service available","1,723","±604","0.6%","±0.2"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","284,061","±3,318","284,061","(X)"
"        1.00 or less","275,787","±3,527","97.1%","±0.5"
"        1.01 to 1.50","3,756","±1,148","1.3%","±0.4"
"        1.51 or more","4,518","±1,128","1.6%","±0.4"
"VALUE","","","",""
"    Owner-occupied units","99,026","±4,744","99,026","(X)"
"        Less than $50,000","2,638","±862","2.7%","±0.9"
"        $50,000 to $99,999","788","±417","0.8%","±0.4"
"        $100,000 to $149,999","88","±106","0.1%","±0.1"
"        $150,000 to $199,999","807","±457","0.8%","±0.5"
"        $200,000 to $299,999","3,370","±1,157","3.4%","±1.2"
"        $300,000 to $499,999","15,679","±2,342","15.8%","±2.1"
"        $500,000 to $999,999","52,721","±3,781","53.2%","±3.1"
"        $1,000,000 or more","22,935","±2,297","23.2%","±2.1"
"        Median (dollars)","701,400","±16,897","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","99,026","±4,744","99,026","(X)"
"        Housing units with a mortgage","68,975","±4,170","69.7%","±2.5"
"        Housing units without a mortgage","30,051","±2,831","30.3%","±2.5"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","68,975","±4,170","68,975","(X)"
"        Less than $500","483","±451","0.7%","±0.7"
"        $500 to $999","1,375","±704","2.0%","±1.0"
"        $1,000 to $1,499","4,770","±1,109","6.9%","±1.5"
"        $1,500 to $1,999","9,815","±1,707","14.2%","±2.3"
"        $2,000 to $2,499","10,380","±1,619","15.0%","±2.1"
"        $2,500 to $2,999","11,812","±1,645","17.1%","±2.4"
"        $3,000 or more","30,340","±2,922","44.0%","±3.2"
"        Median (dollars)","2,824","±89","(X)","(X)"
"    Housing units without a mortgage","30,051","±2,831","30,051","(X)"
"        Less than $250","1,065","±607","3.5%","±2.0"
"        $250 to $399","1,288","±527","4.3%","±1.7"
"        $400 to $599","3,293","±977","11.0%","±3.2"
"        $600 to $799","3,943","±1,005","13.1%","±3.2"
"        $800 to $999","5,231","±1,356","17.4%","±4.0"
"        $1,000 or more","15,231","±2,067","50.7%","±5.2"
"        Median (dollars)","1,012","±78","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","67,952","±4,131","67,952","(X)"
"        Less than 20.0 percent","32,344","±3,356","47.6%","±3.6"
"        20.0 to 24.9 percent","8,485","±1,903","12.5%","±2.6"
"        25.0 to 29.9 percent","6,646","±1,576","9.8%","±2.3"
"        30.0 to 34.9 percent","4,087","±1,021","6.0%","±1.5"
"        35.0 percent or more","16,390","±2,083","24.1%","±2.9"
"        Not computed","1,023","±585","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","29,301","±2,768","29,301","(X)"
"        Less than 10.0 percent","12,819","±1,917","43.7%","±4.6"
"        10.0 to 14.9 percent","5,400","±1,196","18.4%","±3.7"
"        15.0 to 19.9 percent","2,695","±724","9.2%","±2.4"
"        20.0 to 24.9 percent","1,470","±551","5.0%","±1.9"
"        25.0 to 29.9 percent","1,948","±943","6.6%","±3.2"
"        30.0 to 34.9 percent","1,087","±646","3.7%","±2.2"
"        35.0 percent or more","3,882","±973","13.2%","±2.9"
"        Not computed","750","±567","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","180,854","±5,634","180,854","(X)"
"        Less than $500","21,940","±2,518","12.1%","±1.3"
"        $500 to $999","18,193","±2,689","10.1%","±1.5"
"        $1,000 to $1,499","20,930","±2,610","11.6%","±1.4"
"        $1,500 to $1,999","31,211","±3,254","17.3%","±1.7"
"        $2,000 to $2,499","33,192","±3,326","18.4%","±1.7"
"        $2,500 to $2,999","21,635","±2,442","12.0%","±1.3"
"        $3,000 or more","33,753","±2,828","18.7%","±1.5"
"        Median (dollars)","1,970","±58","(X)","(X)"
"        No rent paid","4,181","±1,366","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","175,304","±5,554","175,304","(X)"
"        Less than 15.0 percent","21,250","±2,491","12.1%","±1.5"
"        15.0 to 19.9 percent","20,113","±2,537","11.5%","±1.4"
"        20.0 to 24.9 percent","18,832","±2,395","10.7%","±1.4"
"        25.0 to 29.9 percent","21,297","±2,647","12.1%","±1.5"
"        30.0 to 34.9 percent","17,039","±2,497","9.7%","±1.3"
"        35.0 percent or more","76,773","±4,943","43.8%","±2.2"
"        Not computed","9,731","±1,805","(X)","(X)"
