Year,LocationName,DataSource,Category,Measure,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2019,02215,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,76.7,75.2,78.2,26125,POINT (-71.1030423 42.34771039),02215,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02215,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,25.8,25.2,26.5,26125,POINT (-71.1030423 42.34771039),02215,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,02215,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,22.6,21.6,23.5,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,DEPRESSION,CrdPrv,Depression
2018,02215,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,80.8,79.5,82.0,26125,POINT (-71.1030423 42.34771039),02215,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02215,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,1.7,1.6,1.7,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2019,02215,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,2.6,2.5,2.7,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,DIABETES,CrdPrv,Diabetes
2018,02215,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,35.9,33.2,38.6,26125,POINT (-71.1030423 42.34771039),02215,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02215,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,0.9,0.9,1.0,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,STROKE,CrdPrv,Stroke
2019,02215,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,73.3,72.7,74.0,26125,POINT (-71.1030423 42.34771039),02215,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,02215,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,10.5,10.2,10.8,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,02210,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.3,1.2,1.4,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02210,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,88.6,87.1,89.7,2090,POINT (-71.04764426 42.34739561),02210,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02210,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,18.1,17.4,18.9,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,OBESITY,CrdPrv,Obesity
2018,02210,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,33.2,32.0,34.5,2090,POINT (-71.04764426 42.34739561),02210,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2019,02210,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,11.7,10.8,12.8,2090,POINT (-71.04764426 42.34739561),02210,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2019,02210,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,4.0,3.9,4.2,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02210,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,29.4,28.7,30.1,2090,POINT (-71.04764426 42.34739561),02210,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,02210,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,18.9,18.1,19.8,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,DEPRESSION,CrdPrv,Depression
2018,02210,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,40.7,35.7,45.4,2090,POINT (-71.04764426 42.34739561),02210,PREVENT,COREM,CrdPrv,Core preventive services for older men
2018,02210,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,83.0,80.9,84.8,2090,POINT (-71.04764426 42.34739561),02210,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02210,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,2.3,2.2,2.5,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2019,02210,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,74.5,73.8,75.2,2090,POINT (-71.04764426 42.34739561),02210,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,02210,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,3.7,3.5,4.0,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,DIABETES,CrdPrv,Diabetes
2018,02210,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,33.9,29.2,38.7,2090,POINT (-71.04764426 42.34739561),02210,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02210,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,14.8,14.3,15.4,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2018,02210,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,88.2,86.6,89.2,2090,POINT (-71.04764426 42.34739561),02210,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,02210,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,2.6,2.2,2.9,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,COPD,CrdPrv,COPD
2019,02210,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,16.3,14.9,18.1,2090,POINT (-71.04764426 42.34739561),02210,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02210,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,9.7,8.1,11.7,2090,POINT (-71.04764426 42.34739561),02210,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02210,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,6.0,5.2,7.2,2090,POINT (-71.04764426 42.34739561),02210,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,02210,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,8.2,7.3,9.4,2090,POINT (-71.04764426 42.34739561),02210,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02210,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,56.7,55.4,57.9,2090,POINT (-71.04764426 42.34739561),02210,PREVENT,BPMED,CrdPrv,Taking BP Medication
2019,02210,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,6.6,6.1,7.2,2090,POINT (-71.04764426 42.34739561),02210,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02210,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.2,1.1,1.3,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,STROKE,CrdPrv,Stroke
2018,02210,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,72.3,70.0,74.2,2090,POINT (-71.04764426 42.34739561),02210,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02210,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,13.0,12.5,13.5,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02210,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.0,8.7,9.4,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,02210,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,7.3,4.5,11.3,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2018,02210,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,78.3,75.6,80.3,2090,POINT (-71.04764426 42.34739561),02210,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02210,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,19.7,19.3,20.1,2090,POINT (-71.04764426 42.34739561),02210,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2019,02199,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,5.8,5.3,6.4,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,DIABETES,CrdPrv,Diabetes
2019,02199,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,18.8,16.8,21.4,1146,POINT (-71.08203923 42.34746334),02199,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02199,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,4.5,4.1,5.1,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2019,02199,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,21.6,20.7,22.7,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,02199,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,6.1,4.8,8.1,1146,POINT (-71.08203923 42.34746334),02199,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,02199,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,8.8,6.9,11.4,1146,POINT (-71.08203923 42.34746334),02199,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02199,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,18.0,17.0,19.1,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,OBESITY,CrdPrv,Obesity
2018,02199,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,78.3,75.4,80.3,1146,POINT (-71.08203923 42.34746334),02199,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02199,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.1,1.9,2.5,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,STROKE,CrdPrv,Stroke
2018,02199,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,86.1,84.0,87.6,1146,POINT (-71.08203923 42.34746334),02199,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,02199,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.2,2.0,2.4,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02199,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.1,8.7,9.7,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,02199,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,79.0,76.0,81.3,1146,POINT (-71.08203923 42.34746334),02199,PREVENT,DENTAL,CrdPrv,Dental Visit
2018,02199,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,6.6,4.2,11.8,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2019,02199,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,19.6,18.7,20.7,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02199,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,3.7,3.1,4.6,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,COPD,CrdPrv,COPD
2019,02199,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,7.1,6.7,7.4,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02199,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,90.5,88.9,91.6,1146,POINT (-71.08203923 42.34746334),02199,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02199,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,25.3,24.6,26.2,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2018,02199,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,44.0,37.6,49.9,1146,POINT (-71.08203923 42.34746334),02199,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02199,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,18.0,17.1,19.3,1146,POINT (-71.08203923 42.34746334),02199,HLTHOUT,DEPRESSION,CrdPrv,Depression
2019,02199,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,22.1,21.3,22.9,1146,POINT (-71.08203923 42.34746334),02199,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,02199,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,11.0,9.9,12.4,1146,POINT (-71.08203923 42.34746334),02199,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2019,02199,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,9.8,8.4,11.8,1146,POINT (-71.08203923 42.34746334),02199,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02199,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,8.0,7.1,9.1,1146,POINT (-71.08203923 42.34746334),02199,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02199,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,78.6,77.8,79.4,1146,POINT (-71.08203923 42.34746334),02199,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2018,02199,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,82.5,79.5,85.1,1146,POINT (-71.08203923 42.34746334),02199,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02199,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,72.9,71.4,74.3,1146,POINT (-71.08203923 42.34746334),02199,PREVENT,BPMED,CrdPrv,Taking BP Medication
2018,02199,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,32.0,27.3,36.6,1146,POINT (-71.08203923 42.34746334),02199,PREVENT,COREW,CrdPrv,Core preventive services for older women
2018,02199,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,31.0,29.8,32.4,1146,POINT (-71.08203923 42.34746334),02199,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2019,02171,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,5.0,4.6,5.5,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,COPD,CrdPrv,COPD
2019,02171,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,19.9,19.4,20.3,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,OBESITY,CrdPrv,Obesity
2019,02171,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,89.8,89.1,90.5,17711,POINT (-71.02878899 42.28112245),02171,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02171,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,25.8,25.3,26.3,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,02171,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,13.8,12.6,15.0,17711,POINT (-71.02878899 42.28112245),02171,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02171,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,30.5,30.1,30.8,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2019,02171,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,12.2,11.6,12.8,17711,POINT (-71.02878899 42.28112245),02171,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2018,02171,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,9.5,7.4,12.0,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2019,02171,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.5,2.4,2.7,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,STROKE,CrdPrv,Stroke
2018,02171,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,27.5,25.1,29.9,17711,POINT (-71.02878899 42.28112245),02171,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02171,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,77.9,77.5,78.3,17711,POINT (-71.02878899 42.28112245),02171,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,02171,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.3,2.3,2.4,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02171,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,8.8,8.6,9.0,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2019,02171,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,73.1,72.6,73.7,17711,POINT (-71.02878899 42.28112245),02171,PREVENT,BPMED,CrdPrv,Taking BP Medication
2019,02171,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,17.1,16.6,17.6,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,DEPRESSION,CrdPrv,Depression
2018,02171,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,36.3,35.6,37.0,17711,POINT (-71.02878899 42.28112245),02171,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,02171,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,34.9,32.1,37.5,17711,POINT (-71.02878899 42.28112245),02171,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02171,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,21.1,20.7,21.6,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02171,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,6.5,6.4,6.6,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02171,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,29.5,28.1,31.0,17711,POINT (-71.02878899 42.28112245),02171,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02171,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,9.2,8.3,10.2,17711,POINT (-71.02878899 42.28112245),02171,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,02171,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,8.5,8.2,8.8,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,DIABETES,CrdPrv,Diabetes
2018,02171,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,82.9,81.8,83.9,17711,POINT (-71.02878899 42.28112245),02171,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2018,02171,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,73.0,71.4,74.5,17711,POINT (-71.02878899 42.28112245),02171,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02171,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,19.8,19.5,20.1,17711,POINT (-71.02878899 42.28112245),02171,RISKBEH,BINGE,CrdPrv,Binge Drinking
2018,02171,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,68.1,66.6,69.4,17711,POINT (-71.02878899 42.28112245),02171,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02171,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,9.6,9.1,10.1,17711,POINT (-71.02878899 42.28112245),02171,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02171,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,13.3,12.4,14.3,17711,POINT (-71.02878899 42.28112245),02171,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02171,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,4.9,4.6,5.1,17711,POINT (-71.02878899 42.28112245),02171,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
