OBJECTID,SITE_NAME,DISTRICT,ACRES,ADDRESS,TypeLong
30,Walnut Park,Back Bay/Beacon Hill,0.16074066,Opposite 28 Phillips Str.,"Parks, Playgrounds & Athletic Fields"
31,Walker Playground,Back Bay/Beacon Hill,1.85443363,St. James Ave.,"Malls, Squares & Plazas"
32,Victory Road Park,Back Bay/Beacon Hill,0.32391688,,"Parks, Playgrounds & Athletic Fields"
33,VFW Parkway II,Central Boston,1.11810624,135 Prince Str.,"Parks, Playgrounds & Athletic Fields"
34,VFW Parkway I,Central Boston,1.9815775,Opposite 34 Hull Str.,Cemeteries & Burying Grounds
35,Veterans Park II,Central Boston,0.61203713,536 Commericial Str.,"Malls, Squares & Plazas"
36,Ventura Playground,Central Boston,0.10758423,,"Parks, Playgrounds & Athletic Fields"
37,Union Street Park I,Central Boston,0.23871022,Opposite 26 Charter Str.,"Parks, Playgrounds & Athletic Fields"
38,Union Square Plaza,Central Boston,0.85716454,370 Hanover Street,"Malls, Squares & Plazas"
39,Union Park Street Playground,Central Boston,0.27894045,Opposite 44 Prince Str.,"Parks, Playgrounds & Athletic Fields"
40,Union Park,Central Boston,0.28935655,Opposite 15 Stillman Str.,"Parks, Playgrounds & Athletic Fields"
41,Union Burying Ground,Central Boston,6.01397006,,"Malls, Squares & Plazas"
42,UMass Harborwalk,Central Boston,1.54089431,130 Congress Str.,"Parks, Playgrounds & Athletic Fields"
43,Tunnel Harborwalk,Central Boston,0.17664515,Congress Str.,"Malls, Squares & Plazas"
44,Tufts Wharf Harborwalk,Central Boston,0.50833641,Between Union Street & Congress Street opposite City Hall,"Malls, Squares & Plazas"
45,Truman Parkway,Central Boston,2.1838685,529 Commercial Str.,"Parks, Playgrounds & Athletic Fields"
46,Trotter School Playground,Central Boston,1.28400688,,"Parkways, Reservations & Beaches"
47,Tremlett Square,Central Boston,0.08036273,210 North St.,"Malls, Squares & Plazas"
48,Toohig Playground,Central Boston,0.03349567,"110 Tyler Street, Corner w/Tai Tung St.","Parks, Playgrounds & Athletic Fields"
49,Toll Gate Cemetery,Charlestown,1.33874237,10 Eden Str.,"Parks, Playgrounds & Athletic Fields"
50,Titus Sparrow Park,Charlestown,1.20876298,,"Malls, Squares & Plazas"
51,Thompson Island,Charlestown,0.82983814,,"Malls, Squares & Plazas"
52,Thetford/Evans Playground,Charlestown,6.40064499,,"Parkways, Reservations & Beaches"
53,Theresa Hynes Park Access Easement,Charlestown,10.41698001,Opposite 240 Medford St,"Parks, Playgrounds & Athletic Fields"
54,Theresa Hynes Park,Charlestown,8.77653179,62 Alford Street,"Parks, Playgrounds & Athletic Fields"
55,The Rockies,Charlestown,3.5513371,41 Medford St,"Parks, Playgrounds & Athletic Fields"
56,The Fenway II,Charlestown,3.75245886,349 Bunker Hill Str.,"Parks, Playgrounds & Athletic Fields"
57,The Fenway I,Charlestown,1.79988905,,Cemeteries & Burying Grounds
58,Tenean Beach,Charlestown,3.77625645,,"Malls, Squares & Plazas"
59,Temple Street Park,Charlestown,1.72179063,,Cemeteries & Burying Grounds
60,Temple Ohabei Shalom Cemetery,Charlestown,0.900859,"Winthrop, Common, Adams Sts.","Malls, Squares & Plazas"
61,Tebroc Street Playlot,Charlestown,0.1747193,Between Bunker Hill and Vine St.,"Malls, Squares & Plazas"
62,Tai Tung Park,Charlestown,0.4765882,,Community Gardens
63,Symphony Community Park,East Boston,17.6796181,,"Parks, Playgrounds & Athletic Fields"
64,Sweeney Playground,East Boston,8.31709266,86 Boardman St.,"Parks, Playgrounds & Athletic Fields"
65,Sumner & Lamson Street Playground,East Boston,2.33966592,,Cemeteries & Burying Grounds
66,Strandway/Castle Island,East Boston,0.23069055,,"Parks, Playgrounds & Athletic Fields"
67,Stony Brook Sewer Easement,East Boston,3.59002599,Opposite 490 Bennington Str.,Cemeteries & Burying Grounds
68,Stony Brook Reservation III,East Boston,3.3805977,24 Glendon Str.,"Parks, Playgrounds & Athletic Fields"
69,Stony Brook Reservation II,East Boston,0.27470857,Between Trenton and Eagle St.,"Malls, Squares & Plazas"
70,Stony Brook Reservation I,East Boston,0.26683758,,"Malls, Squares & Plazas"
71,Stony Brook Reservation CR,East Boston,1.28144947,121 Paris Str.,"Parks, Playgrounds & Athletic Fields"
72,Stony Brook Recreation Complex,East Boston,0.78252588,Opposite 195 Webster Str.,"Parks, Playgrounds & Athletic Fields"
73,Stonehill Park,East Boston,0.47865985,Opposite 492 Sumner Str.,"Parks, Playgrounds & Athletic Fields"
74,Statler Park,East Boston,2.74385229,300 Condor St.,Urban Wilds
75,Stanley-Bellevue Park,East Boston,3.50179329,144 Marginal Str.,"Parkways, Reservations & Beaches"
76,St Michael's Cemetery,Fenway/Longwood,0.47762031,Edgerly Road btwn Norway and Burbank Sts.,"Parks, Playgrounds & Athletic Fields"
77,St Mary's Cemetery,Fenway/Longwood,0.12319958,6 Edgerly Road,"Parks, Playgrounds & Athletic Fields"
78,St Joseph's Cemetery,Fenway/Longwood,0.97100607,"Commonwealth Ave btwn Charlesgate West & Kenmore St, nr Kenmore T Station","Malls, Squares & Plazas"
79,St James Street Park,Fenway/Longwood,0.31277237,,"Malls, Squares & Plazas"
80,St Helena's Park,Harbor Islands,25.09617342,,"Parkways, Reservations & Beaches"
81,St Francis De Sales Cemetery,Harbor Islands,60.96033399,,"Parkways, Reservations & Beaches"
82,St Augustine Burying Ground,Harbor Islands,40.45544066,,"Parkways, Reservations & Beaches"
83,Sprague Pond,Harbor Islands,169.8869902,"Boston Harbor, west of Harbor Point, Dorchester","Parkways, Reservations & Beaches"
84,Spectacle Island II,Hyde Park,16.78363393,,"Parks, Playgrounds & Athletic Fields"
85,Spectacle Island I,Hyde Park,6.88373071,,"Parks, Playgrounds & Athletic Fields"
86,Spaulding Rehabilitation Plaza,Hyde Park,6.67237544,,Urban Wilds
87,Southwest Corridor Park,Hyde Park,23.948824,,Urban Wilds
88,South Street Mall & Courts,Hyde Park,0.94494899,,"Parks, Playgrounds & Athletic Fields"
89,South End South Burying Ground,Hyde Park,2.5055118,,Urban Wilds
90,South Bank Park,Hyde Park,1.30443817,,Urban Wilds
91,Soldier's Monument,Hyde Park,0.46590072,Opposite 1661 Hyde Park Ave.,"Parks, Playgrounds & Athletic Fields"
92,Smith Playground,Hyde Park,7.18636757,,"Parks, Playgrounds & Athletic Fields"
93,Shubow Park II,Hyde Park,4.91446373,159 Readville Str.,"Parks, Playgrounds & Athletic Fields"
94,Shubow Park I,Hyde Park,2.86609445,,"Parks, Playgrounds & Athletic Fields"
95,Sherrin Woods I,Hyde Park,0.07297301,0 (Zero) Wolcott Square,"Malls, Squares & Plazas"
96,Sharon's Park,Hyde Park,27.39580723,Corner Turtle Pond Parkway & River Street,"Parks, Playgrounds & Athletic Fields"
97,Schraffts Centre Harborwalk,Hyde Park,0.03806014,Opposite 131 Williams Ave.,"Malls, Squares & Plazas"
98,Sawmill Brook/Brook Farm,Hyde Park,0.77727562,,Urban Wilds
99,Savin Hill Park,Hyde Park,30.39329582,,"Parkways, Reservations & Beaches"
100,Savin Hill Cove,Mission Hill,2.76091488,60 Smith Str.,"Parks, Playgrounds & Athletic Fields"
101,Savin Hill Beach,Mission Hill,0.10489898,10 Sewall Str.,"Parks, Playgrounds & Athletic Fields"
102,Ryan Playground,Jamaica Plain,0.80633719,28 Mozart Str.,"Parks, Playgrounds & Athletic Fields"
103,Ryan Play Area,Jamaica Plain,0.17425723,105 Paul Gore Str.,"Parks, Playgrounds & Athletic Fields"
104,Rutland Square,Jamaica Plain,41.1616755,,Open Land
105,Russia Wharf Harborwalk,Jamaica Plain,0.13269948,,"Malls, Squares & Plazas"
106,Roxbury Heritage State Park I,Jamaica Plain,7.63387255,144 McBride Str.,"Parks, Playgrounds & Athletic Fields"
107,Rowe's Wharf Harborwalk,Jamaica Plain,0.17064967,,"Parks, Playgrounds & Athletic Fields"
108,Rotch Playground,Jamaica Plain,2.60107852,,"Parks, Playgrounds & Athletic Fields"
109,Rossmore/Stedman Park,Jamaica Plain,0.0602203,Intersection of Day and Centre St.,"Malls, Squares & Plazas"
110,Ross Playground,Mission Hill,3.71652063,,Urban Wilds
111,Roslindale Wetlands Urban Wild I,Dorchester,0.68323955,Corner of Thetford & Evans Sts,"Parks, Playgrounds & Athletic Fields"
112,Ronan Park,Mattapan,1.22255816,,Urban Wilds
113,Rogers Park,Mattapan,10.29017524,,Urban Wilds
114,Rockledge Street Urban Wild,Dorchester,0.55885711,,Urban Wilds
115,Roberts Playground,Mattapan,6.14183597,,"Parks, Playgrounds & Athletic Fields"
116,Robert G. Lawson Park,Mattapan,5.95396661,550 Norfolk Str.,"Parks, Playgrounds & Athletic Fields"
117,Riverway V,Mattapan,0.26005249,,"Parks, Playgrounds & Athletic Fields"
118,Riverway IV,Jamaica Plain,243.78709,,Cemeteries & Burying Grounds
119,Riverway III,Roslindale,0.86134391,Walter Str.,Cemeteries & Burying Grounds
120,Riverway II,Jamaica Plain,2.71725419,365 Hyde Park Ave.,"Parks, Playgrounds & Athletic Fields"
121,Riverway I,Jamaica Plain,2.06827268,58 Wachusett Str.,"Parks, Playgrounds & Athletic Fields"
122,Rivermoor III,Roslindale,7.51214641,940 South Str.,"Parks, Playgrounds & Athletic Fields"
123,Rivermoor II,Roslindale,0.43611834,Opposite 238 Poplar St.,"Parks, Playgrounds & Athletic Fields"
124,Ripley Playground,Roslindale,0.20638751,,"Malls, Squares & Plazas"
125,Rink Grounds,Jamaica Plain,0.90486582,,Cemeteries & Burying Grounds
126,Rink Grounds,Roxbury,0.61711798,,"Malls, Squares & Plazas"
127,Ringgold Park,Roxbury,0.1252945,239 Roxbury Street,"Parks, Playgrounds & Athletic Fields"
128,Ringer Playground,Roxbury,1.81821592,221 Roxbury Str.,"Parks, Playgrounds & Athletic Fields"
129,Richardson Park,Roxbury,0.07384486,1 Linwood Park/Opp. 75 Centre St.,"Malls, Squares & Plazas"
130,Rev. Loesch Family Park,Roxbury,0.11614305,Linwood Str.,"Malls, Squares & Plazas"
131,Reserved Channel Harborwalk,Roxbury,0.51363738,,Urban Wilds
132,Reservation Road Park,Roxbury,0.39295057,Adjacent to 35 St. James Str.,"Parks, Playgrounds & Athletic Fields"
133,Rena Park,Roxbury,15.24316864,158 Walnut Avenue,"Parks, Playgrounds & Athletic Fields"
134,Reilly Playground,Roxbury,2.52211074,Opposite 227 Walnut Ave,"Parks, Playgrounds & Athletic Fields"
135,Raymond V. Mellone Park II,Roxbury,1.24409101,Oppoiste 156 Humboldt Ave.,"Parks, Playgrounds & Athletic Fields"
136,Raymond V. Mellone Park I,Roxbury,2.56768548,Adjacent to 310 Walnut Ave.,"Parks, Playgrounds & Athletic Fields"
137,Ramsay Park,Roxbury,0.31972415,345 Walnut Ave.,"Parks, Playgrounds & Athletic Fields"
138,Ramler Park,Jamaica Plain,1.31089218,,"Parks, Playgrounds & Athletic Fields"
139,Railroad Avenue,Roxbury,5.09023284,260 Highland Str.,"Parks, Playgrounds & Athletic Fields"
140,Rachel Revere Square,Roxbury,3.63283913,58 Beech Glen Str.,"Parks, Playgrounds & Athletic Fields"
141,Quincy/Stanley Play Area,Roxbury,0.61566382,Opposite 20 Cedar Str.,"Parks, Playgrounds & Athletic Fields"
142,Quincy Street Play Area,Roxbury,0.11791867,Off 550 Warren Str.,"Malls, Squares & Plazas"
143,Putnam Square,Roxbury,0.54606112,Opposite 70 Quincy Str.,"Parks, Playgrounds & Athletic Fields"
144,Puopolo Playground,Roxbury,1.89271114,,"Parks, Playgrounds & Athletic Fields"
145,Puerto Rican Veterans Memorial Park,Roxbury,0.79442312,Between Dunreath & Copeland Str.,"Parks, Playgrounds & Athletic Fields"
146,Puddingstone Park,Dorchester,0.37053063,Corner of Ellington and Erie,"Parks, Playgrounds & Athletic Fields"
147,Public Ground,Dorchester,0.54822668,Opposite 331 Seaver Str.,"Parks, Playgrounds & Athletic Fields"
148,Public Garden,Roxbury,2.67513375,Between Orchard Park & Adams St.,"Parks, Playgrounds & Athletic Fields"
149,Prince Street Park,Roxbury,1.47775025,,Urban Wilds
150,Prescott Square,Roxbury,9.60646747,55 R New Dudley Str.,"Parks, Playgrounds & Athletic Fields"
151,Porzio Park,Roxbury,0.68561997,138 Moreland Str.,"Parks, Playgrounds & Athletic Fields"
152,Portsmouth Street Playground,Roxbury,0.14143004,6 Holborn Str.,"Parks, Playgrounds & Athletic Fields"
153,Portal Park,South Boston,6.18321088,Opposite 805 East Broadway,"Malls, Squares & Plazas"
154,Port Norfolk Park,South Boston,5.43840854,,"Parks, Playgrounds & Athletic Fields"
155,Poplar Street Play Area,South Boston,0.24322679,Opposite 286 Emerson Str.,Cemeteries & Burying Grounds
156,Pope John Paul II Park II,South Boston,0.12032393,Opposite 655 East Fifth Str.,Cemeteries & Burying Grounds
157,Pope John Paul II Park I,South Boston,4.40435229,,"Malls, Squares & Plazas"
158,Polcari Park,South Boston,0.25204014,Opposite 133 B Str.,"Parks, Playgrounds & Athletic Fields"
159,Pier Four Harborwalk,South Boston,0.64952408,Opposite 209 West Third Str.,"Parks, Playgrounds & Athletic Fields"
160,Piemonte Park,Dorchester,11.2413665,Opposite 65 Mt. Ida Road,"Parks, Playgrounds & Athletic Fields"
161,Phipps Street Burying Ground,Dorchester,0.53822545,Opposite 11 Bowdoin Ave.,"Malls, Squares & Plazas"
162,Phillips Street Play Area,Dorchester,1.18864855,23 Everett Str.,"Parks, Playgrounds & Athletic Fields"
163,Peters Park II,Dorchester,5.72677554,,"Parks, Playgrounds & Athletic Fields"
164,Peters Park I,Dorchester,0.7134472,29 Wellesley Park,"Parks, Playgrounds & Athletic Fields"
165,Peter Looney Park,Dorchester,5.23227413,,"Parks, Playgrounds & Athletic Fields"
166,Perkins Street,Dorchester,4.39559122,531 Adams Str.,"Parks, Playgrounds & Athletic Fields"
167,Penniman Road Play Area,Dorchester,2.25173143,Opposite 21 Wainwright Str.,"Parks, Playgrounds & Athletic Fields"
168,Peabody Square,Dorchester,2.62546008,,Cemeteries & Burying Grounds
169,Paula Titus Park,Mattapan,6.94625108,Opposite 31 Clancy Road,"Parks, Playgrounds & Athletic Fields"
170,Paul Revere Park,Dorchester,1.93328338,Opposite 2096 Dorchester Ave.,Cemeteries & Burying Grounds
171,Paul Revere Mall,Dorchester,27.2996867,1003 Adams Str.,"Parks, Playgrounds & Athletic Fields"
172,Paul Gore Street Park,Dorchester,0.47803119,,"Malls, Squares & Plazas"
173,Patten's Cove,Dorchester,2.12442011,,"Parks, Playgrounds & Athletic Fields"
174,Patrick J. Kelly Park,Dorchester,1.31399581,101 Myrtlebank Ave.,"Parks, Playgrounds & Athletic Fields"
175,Parley Vale Preserve,Dorchester,0.06909026,,Community Gardens
176,Parkman Playground,Dorchester,1.14620734,,"Parks, Playgrounds & Athletic Fields"
177,Parkman Memorial,Dorchester,0.84612895,Opposite 24 Ripley Road,"Parks, Playgrounds & Athletic Fields"
178,Parker Hilltop,Dorchester,5.26426894,Opposite 345 Neposet Ave.,"Parks, Playgrounds & Athletic Fields"
179,Park Drive II,Dorchester,1.31001994,,"Parks, Playgrounds & Athletic Fields"
180,Park Drive I,Dorchester,1.7984447,,Urban Wilds
181,Paris Street Playground,South End,0.2751935,Opposite 178 West Canton Str.,"Parks, Playgrounds & Athletic Fields"
182,Pagel Playground,South End,0.50712416,230 Shawmut Ave.,"Parks, Playgrounds & Athletic Fields"
183,Orton Field,South End,3.32684208,230 Shawmut Ave.,"Parks, Playgrounds & Athletic Fields"
184,Olmsted Park,South End,2.74608007,30 Randolph Str.,"Parks, Playgrounds & Athletic Fields"
185,Old Harbor Park,South End,0.44552493,10 Ringgold Str.,"Parks, Playgrounds & Athletic Fields"
186,Ohrenberger Play Area,South End,2.44463878,1535 Washington Str.,"Malls, Squares & Plazas"
187,O'Donnell Square,South End,2.48301375,Opposite 7 St. George Str.,"Malls, Squares & Plazas"
188,O'Day Playground,South End,1.47010128,1620 Washington Str.,Cemeteries & Burying Grounds
189,Oakview Terrace,South End,0.34378499,17 Worcester Sq.,"Malls, Squares & Plazas"
190,Oak Square I,Roxbury,4.91494835,627 Columbus Ave,"Parks, Playgrounds & Athletic Fields"
191,Noyes Playground,South End,1.79889248,75 West Rutland Sq.,"Parks, Playgrounds & Athletic Fields"
192,North Point Park,South End,0.11841486,Opposite 75 Union Park Str.,"Malls, Squares & Plazas"
193,North End Park,South End,0.14178604,Columbus/Warren Ave.,"Malls, Squares & Plazas"
194,Norman Leventhal Park,South End,0.14956232,Opposite 20 Concord Sq.,"Malls, Squares & Plazas"
195,Nonquit Street Green,Roxbury,5.49386846,1917 Washington Str.,"Parks, Playgrounds & Athletic Fields"
196,Nira Rock,Allston-Brighton,5.5282581,,"Parkways, Reservations & Beaches"
197,Newland Street Park,Allston-Brighton,0.1567464,,"Malls, Squares & Plazas"
198,New Calvary Cemetery,Allston-Brighton,0.38992706,,"Malls, Squares & Plazas"
199,Neponset Valley Parkway,South End,0.89020425,Between 531 to 555 Mass Ave.,"Malls, Squares & Plazas"
200,Neponset River Reservation I,South End,0.32092654,Corner of Wash. & Msgr. Reynolds,"Parks, Playgrounds & Athletic Fields"
201,Nellie Miranda Memorial Park,South End,0.15582059,,"Malls, Squares & Plazas"
202,Navy Yard Grounds,South End,0.10575804,,"Parks, Playgrounds & Athletic Fields"
203,Navy Fuel Pier Airport Edge Buffer,West Roxbury,10.77603957,369 LaGrange Str.,"Parks, Playgrounds & Athletic Fields"
204,Nashua Street Park,West Roxbury,79.31400741,,Cemeteries & Burying Grounds
205,Nancy Kafka Reserve,West Roxbury,48.71769387,,Cemeteries & Burying Grounds
206,Myrtle Street Playground,West Roxbury,20.84240401,,Cemeteries & Burying Grounds
207,Murphy Playground I,West Roxbury,45.95344061,,"Parkways, Reservations & Beaches"
208,Mullen Square,West Roxbury,149.4433231,,"Parkways, Reservations & Beaches"
209,Mt. Pleasant Play Area,West Roxbury,9.5877396,,Cemeteries & Burying Grounds
210,Mt. Hope Cemetery,West Roxbury,5.86258777,68 Stimpson Str.,"Parks, Playgrounds & Athletic Fields"
211,Mt. Bowdoin Green,West Roxbury,0.90354196,Centre Str.,Cemeteries & Burying Grounds
212,Msgr. Reynolds Playground,West Roxbury,0.08957481,Opposite 200 Lasell Str.,"Malls, Squares & Plazas"
213,Msgr. Francis A. Ryan Park,West Roxbury,0.05535156,Stratford Street west of Clement Avenue,"Malls, Squares & Plazas"
214,Mozart Street Playground,West Roxbury,129.1147187,,Cemeteries & Burying Grounds
215,Moynihan Playground,West Roxbury,48.14609073,,Urban Wilds
216,Mount Lebanon Cemetery,West Roxbury,16.72572172,,Urban Wilds
217,Mount Hope Park,West Roxbury,26.66902106,,"Parkways, Reservations & Beaches"
218,Mount Benedict Cemetery,West Roxbury,13.4250183,Off VFW Pkwy,"Parks, Playgrounds & Athletic Fields"
219,Mother's Rest at Four Corners,Fenway/Longwood,0.5060027,124 Peterborough Str.,"Parks, Playgrounds & Athletic Fields"
220,Mother Brook Reservation,Dorchester,0.06345156,,Urban Wilds
221,Morton Street,Central Boston,2.03369846,,"Parkways, Reservations & Beaches"
222,Monterey Hilltop I,Allston-Brighton,115.8119901,,"Parkways, Reservations & Beaches"
223,Moakley Park,Allston-Brighton,0.92237908,25 Penniman Road,"Parks, Playgrounds & Athletic Fields"
224,Mission Hill Playground,South End,0.71771528,"West Newton, San Juan, & Aquadilla Sts.","Parks, Playgrounds & Athletic Fields"
225,Mirabella Pool,South Boston,2.36341621,12 Northern Avenue,"Malls, Squares & Plazas"
226,Millennium Park II,South Boston,0.22805971,308 Congress Street,"Malls, Squares & Plazas"
227,Millennium Park I,South Boston,1.12128945,64 Sleeper St,"Parks, Playgrounds & Athletic Fields"
228,Menino Park,South End,0.09218721,27 Braddock Park,"Malls, Squares & Plazas"
229,Melnea A. Cass Recreational Complex,East Boston,0.19887514,76-84 London Street,"Parks, Playgrounds & Athletic Fields"
230,Medal of Honor Park,East Boston,6.79116545,,"Parks, Playgrounds & Athletic Fields"
231,Meany Park,Charlestown,0.12752687,Adjacent to 13 Caldwell,"Parks, Playgrounds & Athletic Fields"
232,McMorrow Playground,South Boston,5.57148359,1663 Columbia Road,"Parkways, Reservations & Beaches"
233,McLean Playground,South Boston,4.40304053,,"Parkways, Reservations & Beaches"
234,McLaughlin Playground,Hyde Park,0.36558742,2-16 Raldne St.,"Parks, Playgrounds & Athletic Fields"
235,McKinney Playground,South Boston,47.70344233,,"Parkways, Reservations & Beaches"
236,McGann Park,South Boston,17.20141724,,"Parkways, Reservations & Beaches"
237,McConnell Park,Dorchester,13.08638195,,"Parkways, Reservations & Beaches"
238,Mattahunt Woods II,Dorchester,26.11969713,,"Parkways, Reservations & Beaches"
239,Mattahunt Woods I,Dorchester,6.15518826,,"Parkways, Reservations & Beaches"
240,Massport Harborwalk,Jamaica Plain,6.71026098,Perkins Str.,"Parks, Playgrounds & Athletic Fields"
241,Martin's Park,West Roxbury,21.48685572,,Open Land
242,Martini Playground,West Roxbury,31.76358405,,"Parkways, Reservations & Beaches"
243,Martin/Hilltop Playground,Dorchester,0.06797622,,"Malls, Squares & Plazas"
244,Market Street Burying Ground,Dorchester,8.70228873,,"Parkways, Reservations & Beaches"
245,Marine Park,Dorchester,54.18516548,,Cemeteries & Burying Grounds
246,Marcella Playground,Hyde Park,5.78045491,,"Parkways, Reservations & Beaches"
247,Malibu Beach,Hyde Park,9.32832139,151 Res. Road,"Parks, Playgrounds & Athletic Fields"
248,Malcolm X Park I,Hyde Park,0.66053058,,"Parks, Playgrounds & Athletic Fields"
249,Mahoney Square,Hyde Park,5.54015396,,"Parkways, Reservations & Beaches"
250,Mahoney Park,Hyde Park,0.53566356,,"Parks, Playgrounds & Athletic Fields"
251,Madison Park H.S. Athletic Fields,Hyde Park,285.4415589,,"Parkways, Reservations & Beaches"
252,M Street Beach,Charlestown,0.25171851,Prospect Street,"Parks, Playgrounds & Athletic Fields"
253,Lovells Island,Mattapan,3.55447112,500 Walk Hill Street,Community Gardens
254,LoPresti Park,Mattapan,0.15964578,,Community Gardens
255,Long Wharf,Roxbury,12.57440475,,"Parks, Playgrounds & Athletic Fields"
256,Little Scobie Playground,West Roxbury,15.198967,,"Parkways, Reservations & Beaches"
257,Little Mystic Access Area,West Roxbury,91.65706919,300 Gardner Str.,"Parks, Playgrounds & Athletic Fields"
258,Linwood Park,Jamaica Plain,0.42841601,South & Child Sts,"Parks, Playgrounds & Athletic Fields"
259,Lincoln Street Green,Jamaica Plain,0.62835826,,Cemeteries & Burying Grounds
260,Lincoln Square,East Boston,0.17049598,,"Parks, Playgrounds & Athletic Fields"
261,Lincoln Square,East Boston,0.71451437,,Urban Wilds
262,Leo M. Birmingham Parkway,South End,0.06066722,,"Malls, Squares & Plazas"
263,Lawrence Farm,Dorchester,0.08739218,,"Parks, Playgrounds & Athletic Fields"
264,Laviscount Park,Roxbury,0.08834848,,"Malls, Squares & Plazas"
265,Langone Park,Allston,0.11362569,,Community Gardens
266,Lambert Avenue Playground,West Roxbury,0.67412629,,"Parks, Playgrounds & Athletic Fields"
267,L Street Beach,Brighton,0.05818013,Intersection of Dunboy & Perthshire,"Malls, Squares & Plazas"
268,Kittredge Park,Charlestown,2.06590881,,"Parks, Playgrounds & Athletic Fields"
269,King's Chapel Burying Ground,South Boston,58.77738076,1187 Columbia Road,"Parks, Playgrounds & Athletic Fields"
270,King Street Play Area,Dorchester,3.35985728,,"Malls, Squares & Plazas"
271,Kennedy Playground,Dorchester,0.04662537,Ashmont St. & Dorchester Ave.,"Malls, Squares & Plazas"
272,Kennedy Library Harborwalk,Dorchester,1.77458013,,"Parkways, Reservations & Beaches"
273,Kennedy Garden,Dorchester,0.13515974,,"Malls, Squares & Plazas"
274,Joyce Playground,Jamaica Plain,0.10008297,Opposite 34 Oakview Ter.,"Malls, Squares & Plazas"
275,Joslin Park,East Boston,142.1035899,,"Parkways, Reservations & Beaches"
276,Jones Square,West Roxbury,2.62654718,,"Parks, Playgrounds & Athletic Fields"
277,Johnson Park II,Jamaica Plain,4.75005995,,"Parkways, Reservations & Beaches"
278,Johnson Park I,Jamaica Plain,0.22702045,,"Parkways, Reservations & Beaches"
279,John Harvard Mall,Jamaica Plain,1.03910568,,"Parkways, Reservations & Beaches"
280,Joe's American Harborwalk,Central Boston,0.81678949,,"Malls, Squares & Plazas"
281,Jeremiah Hurley Memorial Park,Back Bay/Beacon Hill,0.06073199,44-46 Temple Street,"Malls, Squares & Plazas"
282,Jefferson Playground,Multi-District,6.77560767,,"Parkways, Reservations & Beaches"
283,Jeep Jones Park,Multi-District,0.76096783,,"Parkways, Reservations & Beaches"
