"AQSID","SiteName","Status","EPARegion","Latitude","Longitude","Elevation","GMTOffset","CountryCode","StateName","ValidDate","ValidTime","DataSource","ReportingArea_PipeDelimited","OZONE_AQI","PM10_AQI","PM25_AQI","NO2_AQI","OZONE_Measured","PM10_Measured","PM25_Measured","NO2_Measured","CO","CO_Unit","PM25","PM25_Unit","SO2","SO2_Unit","OZONE","OZONE_Unit","NO2","NO2_Unit","PM10","PM10_Unit"
"007203140","JPN Site 007203140","Active","","37.390832","140.379161","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"027121510","JPN Site 027121510","Active","","34.636598","135.538579","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"013110530","JPN Site 013110530","Active","","35.623509","139.678467","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"034208050","JPN Site 034208050","Active","","34.570176","133.243217","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","2.0","PPB","","","","","",""
"390030009","Lima","Active","R5","40.771","-84.0539","275.1","-5.0","US","OH","01/21/21","00:00","Ohio EPA-DAPC","Lima","","","36.0","","0","0","1","0","","","7.7","UG/M3","0.0","PPB","","","","","",""
"010690004","DOTHAN","Inactive","R4","31.1889","-85.4233","0.0","-5.0","US","AL","01/21/21","00:00","Alabama Department of Environmental Management","","","","","","1","0","0","0","","","","","","","","","","","",""
"390030002","LIMA","Inactive","R5","40.7719","-84.0517","0.0","-5.0","US","OH","01/21/21","00:00","Ohio EPA-DAPC","","","","","","1","0","1","0","","","","","","","","","","","",""
"121071008","Palatka","Active","R4","29.686667","-81.656389","2.7","-5.0","US","FL","01/21/21","00:00","Florida Dept. of Environmental Protection","","","22.0","","","0","1","0","0","","","","","","","","","","","16.4","UG/M3"
"840480211612","Bastrop C1612","Active","R6","30.108222","-97.293741","160.4","-6.0","US","TX","01/21/21","00:00","Capital Area Council of Governments","Austin","","","","","1","0","0","0","","","","","","","","","","","",""
"201910002","PECK","Active","R7","37.4769","-97.3664","0.0","-6.0","US","KS","01/21/21","00:00","Kansas Dept. of Health and Environment","Wichita","22.0","41.0","28.0","2.0","1","1","1","1","","","6.7","UG/M3","2.0","PPB","23.0","PPB","3.0","PPB","39.7","UG/M3"
"ALG010001","Algiers","Active","DSAG","36.755798","3.039114","0.0","1.0","AG","N/A","01/21/21","00:00","U.S. Department of State Algeria - Algiers","Algiers","","","96.0","","0","0","1","0","","","49.0","UG/M3","","","","","","","",""
"840480211613","Elgin C1613","Active","R6","30.347808","-97.378508","580.1","-6.0","US","TX","01/21/21","00:00","Capital Area Council of Governments","Austin","","","","","1","0","0","0","","","","","","","","","","","",""
"370119991","Cranberry","Active","R3","36.1058","-82.0454","1219.7","-5.0","US","NC","01/21/21","00:00","EPA Office of Atmospheric Programs","Avery County","39.0","","","","1","0","0","0","","","","","","","43.0","PPB","","","",""
"007203150","JPN Site 007203150","Active","","37.447771","140.393046","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"211170007","CHASE","Inactive","R4","39.072498","-84.525002","0.0","-5.0","US","KY","01/21/21","00:00","Kentucky DEP","","","","","","1","0","1","0","","","","","","","","","","","",""
"020211010","JPN Site 020211010","Active","","36.7442","138.367691","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"027209010","JPN Site 027209010","Active","","34.732977","135.554129","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"022203010","JPN Site 022203010","Active","","35.110494","138.853559","0.0","9.0","","AK","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"061112003","Ventura - Emma Wood State Beach","Inactive","R9","34.290001","-119.313599","0.0","-8.0","US","CA","01/21/21","00:00","Ventura County  APCD","Ventura","","","","","1","0","0","0","","","","","","","","","","","",""
"006205010","JPN Site 006205010","Active","","38.757074","140.298549","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"061112002","Simi Valley - Cochran Street","Active","R9","34.27632","-118.68369","0.0","-8.0","US","CA","01/21/21","00:00","Ventura County  APCD","Simi Valley","33.0","24.0","11.0","","1","1","1","0","","","3.0","UG/M3","","","39.0","PPB","","","25.0","UG/M3"
"021203010","JPN Site 021203010","Active","","36.145911","137.252534","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","0.0","PPB","","","","","",""
"060132007","San Ramon","Active","R9","37.743649","-121.934188","0.0","-8.0","US","CA","01/21/21","00:00","San Francisco Bay Area AQMD","","25.0","","","4.0","1","0","0","1","","","","","","","34.0","PPB","4.0","PPB","",""
"023201170","JPN Site 023201170","Active","","34.725233","137.44786","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"240259001","Aldino","Active","R3","39.563301","-76.203903","127.8","-5.0","US","MD","01/21/21","00:00","Maryland Department of the Environment","Metropolitan Baltimore","","","","","1","0","0","0","","","","","","","","","","","",""
"490137011","Myton","Active","R8","40.2169","-110.182297","1608.9","-7.0","US","UT","01/21/21","00:00","Ute Tribe","Myton","39.0","","","3.0","1","0","0","1","","","","","","","44.0","PPB","3.0","PPB","",""
"018202530","JPN Site 018202530","Active","","35.632334","136.0621","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","0.3","PPM","","","","","","","","","",""
"080131001","Boulder - CU - 2102 Athens St.","Active","R8","40.0128","-105.2667","1632.4","-7.0","US","CO","01/21/21","00:00","Colorado Department of Public Health and Environment","Denver-Boulder","","","19.0","","0","0","1","0","","","5.6","UG/M3","","","","","","","",""
"013122520","JPN Site 013122520","Active","","35.764331","139.852335","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"120112003","POMPANO_BEACH","Active","R4","26.2906","-80.0969","0.0","-5.0","US","FL","01/21/21","00:00","Broward County Environmental Engineering and Permitting  Division","Broward County","26.0","","33.0","","1","0","1","0","","","11.2","UG/M3","","","17.0","PPB","","","",""
"000053201","Râ€šs. Faun. Ashuapmushuan - Pâ€šmonka","Active","CA","48.8183","-72.7428","249.5","-5.0","CA","CC","01/21/21","00:00","Canada-Quebec1","","31.0","","","","1","0","0","0","","","","","","","33.0","PPB","","","",""
"120112004","POMPANO BEACH","Inactive","R4","26.2176","-80.1276","3.7","-5.0","US","FL","01/21/21","00:00","Broward County Environmental Engineering and Permitting  Division","","","","","","0","1","0","0","","","","","","","","","","","",""
"023209080","JPN Site 023209080","Active","","34.838268","136.977617","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"080410013","Colorado Springs - USAF Academy","Active","R8","38.9583","-104.8167","1571.1","-7.0","US","CO","01/21/21","00:00","Colorado Department of Public Health and Environment","Colorado Springs","38.0","","","","1","0","0","0","","","","","","","43.0","PPB","","","",""
"000091501","Beaverlodge","Active","CA","55.1964","-119.3967","0.0","-7.0","CA","CC","01/21/21","00:00","Alberta Environmental Monitoring and Reporting Agency (AEMERA)","","31.0","","8.0","7.0","1","0","1","0","","","2.2","UG/M3","","","30.0","PPB","","","",""
"080410016","Manitou Springs","Active","R8","38.853097","-104.901286","1947.1","-7.0","US","CO","01/21/21","00:00","Colorado Department of Public Health and Environment","Colorado Springs","36.0","","","","1","0","0","0","","","","","","","40.0","PPB","","","",""
"080410017","Colorado College","Active","R8","38.848","-104.8286","1571.1","-7.0","US","CO","01/21/21","00:00","Colorado Department of Public Health and Environment","Colorado Springs","","","15.0","","0","0","1","0","","","4.4","UG/M3","","","","","","","",""
"009201060","JPN Site 009201060","Active","","36.487587","139.863968","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"046321010","JPN Site 046321010","Active","","31.376026","130.542477","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","3.0","PPB","","","","","",""
"800150091","Altzomoni","Inactive","MX","19.1185","-98.6554","0.0","-6.0","MX","MX","01/21/21","00:00","Red de Monitoreo de la Calidad del Aire de la Ciudad de Mexico","Mexico City","","","","","1","0","0","0","","","","","","","","","","","",""
"060376012","Santa Clarita","Active","R9","34.3833","-118.5283","116.8","-8.0","US","CA","01/21/21","00:00","South Coast AQMD","San Gabriel Mts|Santa Clarita Vly|San Fernando-Santa Clarita Valleys","32.0","","15.0","1.0","1","0","1","1","0.11","PPM","3.8","UG/M3","","","38.0","PPB","1.0","PPB","",""
"080410015","Colorado Springs - Highway 24","Active","R8","38.830895","-104.839243","1823.0","-7.0","US","CO","01/21/21","00:00","Colorado Department of Public Health and Environment","Colorado Springs","","","","","0","0","0","0","0.68","PPM","","","0.0","PPB","","","","","",""
"470651011","Soddy Daisy","Active","R4","35.14","-85.1697","0.0","-5.0","US","TN","01/21/21","00:00","Chattanooga-Hamilton County Air Pollution Control Bureau","Chattanooga","","","","","1","0","0","0","","","","","","","","","","","",""
"028210010","JPN Site 028210010","Active","","34.757684","134.842242","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"013203010","JPN Site 013203010","Active","","35.714331","139.55514","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"795ABT010001","Ashgabat","Active","DSTX","37.9415","58.3879","0.0","5.0","TX","N/A","01/21/21","00:00","U.S. Department of State - Ashgabat, Turkmenistan","Ashgabat","","","60.0","","0","0","1","0","","","15.0","UG/M3","","","","","","","",""
"028209010","JPN Site 028209010","Active","","35.544544","134.820819","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"421255001","Florence","Active","R3","40.4447","-80.42","0.0","-5.0","US","PA","01/21/21","00:00","Pennsylvania Dept. of Environmental Protection","Pittsburgh","21.0","","34.0","","1","0","1","0","","","8.4","UG/M3","","","22.0","PPB","","","",""
"060811001","Redwood City","Active","R9","37.4828","-122.2022","0.9","-8.0","US","CA","01/21/21","00:00","San Francisco Bay Area AQMD","Redwood City|Fremont","19.0","","48.0","15.0","1","0","1","1","0.36","PPM","12.0","UG/M3","","","21.0","PPB","17.0","PPB","",""
"420150011","Towanda","Active","R3","41.705226","-76.512726","340.1","-5.0","US","PA","01/21/21","00:00","Pennsylvania Dept. of Environmental Protection","","","","9.0","","1","0","1","0","","","2.5","UG/M3","","","","","","","",""
"012207520","JPN Site 012207520","Active","","35.803216","139.909273","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","0.3","PPM","","","","","","","","","",""
"170310022","CHI_WASH","Inactive","R5","41.6878","-87.5389","0.0","-6.0","US","IL","01/21/21","00:00","Illinois EPA","Chicago","","","","","0","0","1","0","","","","","","","","","","","",""
"171613002","ROCK_IS","Active","R5","41.5144","-90.5172","0.0","-6.0","US","IL","01/21/21","00:00","Illinois EPA","Rock Island-Moline","","","25.0","","1","0","1","0","","","6.6","UG/M3","","","","","","","",""
"000010102","St. John's","Active","CA","47.6528","-52.8167","9.8","-4.0","CA","CC","01/21/21","00:00","Newfoundland & Labrador DEC","","31.0","","","1.0","1","0","0","0","","","","","","","35.0","PPB","","","",""
"000065201","Parry Sound","Active","CA","45.3378","-80.0378","0.0","-5.0","CA","CC","01/21/21","00:00","Ontario Ministry of the Environment","","31.0","","0.0","","1","0","1","0","","","0.0","UG/M3","","","34.0","PPB","","","",""
"200910010","Heritage Park","Active","R7","38.8386","-94.7464","0.0","-6.0","US","KS","01/21/21","00:00","Kansas Dept. of Health and Environment","Kansas City","29.0","22.0","17.0","","1","1","1","0","","","4.3","UG/M3","","","30.0","PPB","","","24.2","UG/M3"
"131270006","Brunswick","Active","R4","31.1694","-81.4964","0.0","-5.0","US","GA","01/21/21","00:00","Georgia Department of Natural Resources","Brunswick","","","","","1","0","0","0","","","","","","","","","","","",""
"014206510","JPN Site 014206510","Active","","35.250485","139.159083","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"170191001","BONDVILLE","Active","R5","40.052241","-88.372549","0.0","-6.0","US","IL","01/21/21","00:00","Illinois EPA","Champaign","","","18.0","","0","0","1","0","","","4.8","UG/M3","","","","","","","",""
"022327010","JPN Site 022327010","Active","","35.020783","138.9455","0.0","9.0","","AK","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"027210030","JPN Site 027210030","Active","","34.862965","135.679112","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"009201070","JPN Site 009201070","Active","","36.507864","139.942571","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"008423040","JPN Site 008423040","Active","","35.939602","140.567545","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"391219991","Quaker City","Active","R3","39.9428","-81.3373","372.1","-5.0","US","OH","01/21/21","00:00","EPA Office of Atmospheric Programs","","30.0","","","","1","0","0","0","","","","","","","29.0","PPB","","","",""
"028210020","JPN Site 028210020","Active","","34.741852","134.824189","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","2.0","PPB","","","","","",""
"840080590014","Evergreen","Active","R8","39.620408","-105.33872","2214.3","-7.0","US","CO","01/21/21","00:00","Colorado Department of Public Health and Environment","","29.0","","","","1","0","0","0","","","","","","","26.0","PPB","","","",""
"032209010","JPN Site 032209010","Active","","35.312035","132.897934","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"360410005","Piseco Lake","Active","R2","43.4556","-74.515","0.0","-5.0","US","NY","01/21/21","00:00","New York Dept. of Environmental Conservation","Adirondacks Region","31.0","","","","1","0","0","0","","","","","","","33.0","PPB","","","",""
"CUR010001","Curacao","Active","DSUC","12.1696","-68.99","0.0","-4.0","UC","N/A","01/21/21","00:00","U.S. Department of State Curacao","Curacao","17.0","","36.0","","1","0","1","0","","","7.0","UG/M3","","","21.0","PPB","","","",""
"000102103","Harmac Cedar Woodbank","Active","CA","49.1217","-123.86","47.0","-8.0","CA","CC","01/21/21","00:00","British Columbia Ministry of Environment","","","","","","0","1","0","0","","","","","","","","","","","",""
"000102102","Nanaimo Labieux Road","Active","CA","49.2008","-123.9939","122.0","-8.0","CA","CC","01/21/21","00:00","British Columbia Ministry of Environment","","17.0","","6.0","","1","0","1","0","","","0.0","UG/M3","","","","","","","",""
"511970002","RURAL RETREAT","Active","R3","36.893101","-81.254997","0.0","-5.0","US","VA","01/21/21","00:00","Virginia Dept. of Environmental Quality","","28.0","","","","1","0","0","0","","","","","","","26.0","PPB","","","",""
"080350004","Chatfield Park - 11500 N. Roxborough Park Rd.","Active","R8","39.5339","-105.07","1571.1","-7.0","US","CO","01/21/21","00:00","Colorado Department of Public Health and Environment","Denver-Boulder","35.0","","7.0","","1","1","1","0","","","1.8","UG/M3","","","39.0","PPB","","","",""
"320030073","Palo Verde","Active","R9","36.173415","-115.332728","932.7","-8.0","US","NV","01/21/21","00:00","Clark County Department of Environment and Sustainability ","Las Vegas","31.0","23.0","19.0","","1","1","1","0","","","4.7","UG/M3","","","35.0","PPB","","","25.2","UG/M3"
"170859991","Stockton","Active","R3","42.2869","-89.9997","273.9","-6.0","US","IL","01/21/21","00:00","EPA Office of Atmospheric Programs","","30.0","","","","1","0","0","0","","","","","","","30.0","PPB","","","",""
"320030075","Joe Neal","Active","R9","36.270592","-115.238282","709.7","-8.0","US","NV","01/21/21","00:00","Clark County Department of Environment and Sustainability ","Las Vegas","33.0","25.0","19.0","5.0","1","1","1","1","","","4.5","UG/M3","","","35.0","PPB","5.0","PPB","25.7","UG/M3"
"120866001","Homestead Fire Station #16","Active","R4","25.4719","-80.4828","0.0","-5.0","US","FL","01/21/21","00:00","Florida Dept. of Environmental Protection","Miami","","","25.0","","0","0","1","0","","","7.5","UG/M3","","","","","","","",""
"170971007","ZION","Active","R5","42.4669","-87.8103","0.0","-6.0","US","IL","01/21/21","00:00","Illinois EPA","Lake County|Chicago","","","","","1","0","0","0","","","","","","","","","","","",""
"004204020","JPN Site 004204020","Active","","38.559885","140.975169","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","0.0","PPB","","","","","",""
"023105050","JPN Site 023105050","Active","","35.169898","136.862889","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"170971002","WAUKEGAN","Inactive","R5","42.386902","-87.8414","0.0","-6.0","US","IL","01/21/21","00:00","Illinois EPA","Chicago","","","","","1","0","0","0","","","","","","","","","","","",""
"005201080","JPN Site 005201080","Active","","39.757241","140.066578","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"027210020","JPN Site 027210020","Active","","34.821303","135.703001","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"270317810","Grand Portage","Active","R5","47.9721","-89.6908","0.0","-6.0","US","MN","01/21/21","00:00","Minnesota Pollution Control Agency","Grand Portage","","","15.0","","0","0","1","0","","","2.0","UG/M3","","","","","","","",""
"230050029","Portland - Deering Oaks","Active","R1","43.660248","-70.268967","0.0","-5.0","US","ME","01/21/21","00:00","Maine Dept. of Environmental Protection","Southwest Coast","28.0","","17.0","3.0","1","0","1","1","","","3.0","UG/M3","0.0","PPB","31.0","PPB","4.0","PPB","",""
"320030071","Walter Johnson","Active","R9","36.169756","-115.263038","771.7","-8.0","US","NV","01/21/21","00:00","Clark County Department of Environment and Sustainability ","Las Vegas","28.0","22.0","19.0","","1","1","1","0","","","4.6","UG/M3","","","33.0","PPB","","","24.2","UG/M3"
"170310001","ALSIP","Active","R5","41.6708","-87.7325","0.0","-6.0","US","IL","01/21/21","00:00","Illinois EPA","Chicago|South & West Suburbs (Chicago)","","","15.0","","1","0","1","0","","","4.6","UG/M3","","","","","","","",""
"191139028","KIRKWOOD2","Inactive","R7","41.9106","-91.6519","0.0","-6.0","US","IA","01/21/21","00:00","Linn Co. Public Health ","","","","","","1","0","0","0","","","","","","","","","","","",""
"530210002","Mesa-Pepoit Way (temp SO)","Active","R10","46.5754","-119.0021","223.9","-8.0","US","WA","01/21/21","00:00","Washington Department of Ecology","Mesa","","","37.0","","0","0","1","0","","","8.6","UG/M3","","","","","","","",""
"060250006","Calexico - East","Inactive","R9","32.677799","-115.389702","0.0","-8.0","US","CA","01/21/21","00:00","California Air Resources Board","","","","","","1","0","1","1","","","","","","","","","","","",""
"060250005","Calexico - Ethel Street","Active","R9","32.67618","-115.48307","0.0","-8.0","US","CA","01/21/21","00:00","California Air Resources Board","Calexico|Imperial Valley","14.0","5.0","20.0","5.0","1","1","1","1","0.14","PPM","4.0","UG/M3","0.0","PPB","19.0","PPB","6.0","PPB","4.9","UG/M3"
"007203130","JPN Site 007203130","Active","","37.391111","140.395826","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"043207010","JPN Site 043207010","Active","","32.460626","130.195789","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"001205020","JPN Site 001205020","Active","","42.325038","140.99416","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"060250007","Brawley - 220 Main Street","Active","R9","32.978298","-115.5383","0.0","-8.0","US","CA","01/21/21","00:00","Imperial County Air Pollution Control District","Brawley|Imperial Valley","","7.0","","","0","1","0","0","","","","","","","","","","","7.0","UG/M3"
"011110010","JPN Site 011110010","Active","","35.916812","139.723728","0.0","9.0","","AL","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"040078000","Miami Golf Course","Active","R9","33.419017","-110.829667","1000.4","-7.0","US","AZ","01/21/21","00:00","Arizona Department of Environmental Quality","","","12.0","","","0","1","0","0","","","","","","","","","","","11.0","UG/M3"
"023421010","JPN Site 023421010","Active","","35.155453","136.794006","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"027210010","JPN Site 027210010","Active","","34.814359","135.650783","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"026104060","JPN Site 026104060","Active","","34.998229","135.734101","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","3.0","PPB","","","","","",""
"120310100","Mayo Clinic","Active","R4","30.2603","-81.4533","0.0","-5.0","US","FL","01/21/21","00:00","City of Jacksonville - Environmental Quality Division","Jacksonville","28.0","","57.0","","1","0","1","0","","","16.3","UG/M3","","","24.0","PPB","","","",""
"033213020","JPN Site 033213020","Active","","34.781002","134.095914","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"060271033","Big Pine-CA","Active","R8","37.0056","-118.2936","1233.7","-8.0","US","CA","01/21/21","00:00","Quality Review and Exchange System for Tribes (QREST)","","","","","","0","0","0","0","","","","","","","","","","","",""
"250270024","Uxbridge","Active","R1","42.0997","-71.62","0.0","-5.0","US","MA","01/21/21","00:00","Massachusetts Dept. of Environmental Protection","Uxbridge","26.0","","","","1","0","0","0","","","","","","","32.0","PPB","","","",""
"420950025","Freemansburg","Active","R3","40.6281","-75.3411","0.0","-5.0","US","PA","01/21/21","00:00","Pennsylvania Dept. of Environmental Protection","Lehigh Valley","23.0","","14.0","","1","0","1","0","","","4.1","UG/M3","","","26.0","PPB","","","",""
"250270023","Worcester","Active","R1","42.263901","-71.794701","0.0","-5.0","US","MA","01/21/21","00:00","Massachusetts Dept. of Environmental Protection","Worcester","","","37.0","1.0","0","0","1","1","0.21","PPM","10.0","UG/M3","0.0","PPB","","","1.0","PPB","",""
"482151048","Mercedes C1048","Inactive","R6","26.1308","-97.9372","18.3","-6.0","US","TX","01/21/21","00:00","Texas Commission on Environmental Quality","","","","","","1","0","0","0","","","","","","","","","","","",""
"027124510","JPN Site 027124510","Active","","34.703536","135.577739","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"482151046","Edinburg C1046","Active","R6","26.288622","-98.152066","9.8","-6.0","US","TX","01/21/21","00:00","Texas Commission on Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"550430009","Potosi","Active","R5","42.692131","-90.696373","0.0","-6.0","US","WI","01/21/21","00:00","Wisconsin Dept. of Natural Resources","Grant County","","","30.0","","0","0","1","0","","","6.9","UG/M3","","","","","","","",""
"UZB010001","Tashkent","Active","DSUZ","41.3672","69.2725","0.0","5.0","UZ","N/A","01/21/21","00:00","U.S. Department of State Uzbekistan - Tashkent","Tashkent","26.0","","59.0","","1","0","1","0","","","16.0","UG/M3","","","36.0","PPB","","","",""
"391050003","Pomeroy","Inactive","R5","39.038502","-82.045601","0.0","-5.0","US","OH","01/21/21","00:00","Ohio EPA-DAPC","","","","","","0","0","0","0","","","","","","","","","","","",""
"840410270001","Hood River West Side FD","Active","R10","45.685138","-121.527478","171.1","-8.0","US","OR","01/21/21","00:00","Oregon Dept. of Environmental Quality","","","","29.0","","0","0","1","0","","","7.3","UG/M3","","","","","","","",""
"MNA010001","Manama","Active","DSBA","26.204697","50.570833","0.0","3.0","BA","N/A","01/21/21","00:00","U.S. Department of State Bahrain - Manama","Manama","0.0","","131.0","","1","0","1","0","","","53.0","UG/M3","","","-4.0","PPB","","","",""
"004201080","JPN Site 004201080","Active","","38.240751","140.942964","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"131850003","Valdosta","Active","R4","30.8486","-83.2933","69.8","-5.0","US","GA","01/21/21","00:00","Georgia Department of Natural Resources","","","31.0","68.0","","0","1","1","0","","","20.5","UG/M3","","","","","","","32.5","UG/M3"
"120310108","Pepsi Place","Active","R4","30.262808","-81.606834","0.0","-5.0","US","FL","01/21/21","00:00","City of Jacksonville - Environmental Quality Division","","","","59.0","42.0","0","0","1","1","0.8","PPM","19.5","UG/M3","","","","","44.0","PPB","",""
"120310107","Lee HS","Inactive","R4","30.308534","-81.705557","0.0","-5.0","US","FL","01/21/21","00:00","City of Jacksonville - Environmental Quality Division","","","","","","0","0","0","0","","","","","","","","","","","",""
"340392003","Rahway PM","Active","R2","40.603943","-74.276176","2.7","-5.0","US","NJ","01/21/21","00:00","New Jersey Dept. of Environmental Protection","","","","","","0","0","1","0","","","","","","","","","","","",""
"120310106","Cisco Drive","Active","R4","30.378167","-81.84079","0.0","-5.0","US","FL","01/21/21","00:00","City of Jacksonville - Environmental Quality Division","","31.0","","","","1","0","0","0","","","","","","","25.0","PPB","","","",""
"012203120","JPN Site 012203120","Active","","35.682674","139.910667","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"014101520","JPN Site 014101520","Active","","35.52602","139.671528","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"060271023","Bishop Paiute Tribe-CA","Active","R9","37.3667","-118.4167","1288.9","-8.0","US","CA","01/21/21","00:00","Bishop Paiute Tribe","Bishop|Bishop Paiute Tribe","7.0","16.0","11.0","","1","1","1","0","","","2.6","UG/M3","","","4.0","PPB","","","19.6","UG/M3"
"320030023","Mesquite","Inactive","R3","36.807914","-114.060877","488.3","-8.0","US","NV","01/21/21","00:00","Tantus Technologies","Las Vegas","","","","","1","0","0","0","","","","","","","","","","","",""
"370210030","BNTCR","Inactive","R4","35.5","-82.6","0.0","-5.0","US","NC","01/21/21","00:00","North Carolina DEQ - Division of Air Quality","Buncombe County","","","","","1","0","0","0","","","","","","","","","","","",""
"320030022","Apex","Inactive","R9","36.39103","-114.907429","662.2","-8.0","US","NV","01/21/21","00:00","Clark County Department of Environment and Sustainability ","Las Vegas","","","","","1","0","0","0","","","","","","","","","","","",""
"360319991","Huntington Wildlife","Active","R3","43.97","-74.22","502.0","-5.0","US","NY","01/21/21","00:00","EPA Office of Atmospheric Programs","Adirondacks Region","26.0","","","","1","0","0","0","","","","","","","29.0","PPB","","","",""
"320030024","Virgin Valley","Active","R9","36.815897","-114.050347","0.0","-8.0","US","NV","01/21/21","00:00","Clark County Department of Environment and Sustainability ","","32.0","21.0","18.0","","1","1","1","0","","","4.8","UG/M3","","","37.0","PPB","","","29.2","UG/M3"
