"Label (Grouping)","ZCTA5 02118!!Number!!Estimate","ZCTA5 02118!!Number!!Margin of Error","ZCTA5 02118!!Percent Distribution!!Estimate","ZCTA5 02118!!Percent Distribution!!Margin of Error","ZCTA5 02118!!Mean income (dollars)!!Estimate","ZCTA5 02118!!Mean income (dollars)!!Margin of Error","ZCTA5 02119!!Number!!Estimate","ZCTA5 02119!!Number!!Margin of Error","ZCTA5 02119!!Percent Distribution!!Estimate","ZCTA5 02119!!Percent Distribution!!Margin of Error","ZCTA5 02119!!Mean income (dollars)!!Estimate","ZCTA5 02119!!Mean income (dollars)!!Margin of Error","ZCTA5 02121!!Number!!Estimate","ZCTA5 02121!!Number!!Margin of Error","ZCTA5 02121!!Percent Distribution!!Estimate","ZCTA5 02121!!Percent Distribution!!Margin of Error","ZCTA5 02121!!Mean income (dollars)!!Estimate","ZCTA5 02121!!Mean income (dollars)!!Margin of Error","ZCTA5 02125!!Number!!Estimate","ZCTA5 02125!!Number!!Margin of Error","ZCTA5 02125!!Percent Distribution!!Estimate","ZCTA5 02125!!Percent Distribution!!Margin of Error","ZCTA5 02125!!Mean income (dollars)!!Estimate","ZCTA5 02125!!Mean income (dollars)!!Margin of Error","ZCTA5 02215!!Number!!Estimate","ZCTA5 02215!!Number!!Margin of Error","ZCTA5 02215!!Percent Distribution!!Estimate","ZCTA5 02215!!Percent Distribution!!Margin of Error","ZCTA5 02215!!Mean income (dollars)!!Estimate","ZCTA5 02215!!Mean income (dollars)!!Margin of Error"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","5,395","±417","5,395","±417","191,166","±21,641","5,656","±517","5,656","±517","70,855","±8,106","6,651","±655","6,651","±655","69,228","±8,860","6,784","±432","6,784","±432","91,790","±7,778","1,749","±245","1,749","±245","147,113","±26,572"
"        No workers","644","±194","11.9%","±3.5","60,620","±45,661","778","±263","13.8%","±4.5","19,214","±6,173","1,165","±402","17.5%","±5.7","21,252","±6,597","844","±283","12.4%","±3.9","24,268","±11,222","99","±54","5.7%","±3.1","N","N"
"        1 worker","1,826","±334","33.8%","±5.5","156,834","±43,560","2,069","±372","36.6%","±5.1","39,813","±4,756","2,154","±374","32.4%","±5.0","40,131","±5,503","2,175","±309","32.1%","±4.2","52,646","±9,444","549","±160","31.4%","±9.1","N","N"
"        2 workers, both spouses worked","2,035","±281","37.7%","±4.9","308,872","±32,380","972","±292","17.2%","±5.2","134,196","±38,871","650","±235","9.8%","±3.4","92,170","±17,025","1,262","±229","18.6%","±3.1","148,292","±17,568","868","±189","49.6%","±9.5","N","N"
"        2 workers, other","603","±235","11.2%","±4.2","49,700","±13,269","1,193","±288","21.1%","±4.3","83,806","±11,190","1,291","±301","19.4%","±4.6","73,349","±13,410","1,140","±222","16.8%","±3.2","103,235","±26,258","217","±195","12.4%","±10.4","N","N"
"        3 or more workers, both spouses worked","232","±144","4.3%","±2.6","158,024","±87,069","398","±135","7.0%","±2.4","119,947","±29,007","616","±356","9.3%","±5.0","182,509","±41,073","760","±211","11.2%","±3.0","119,004","±17,711","16","±26","0.9%","±1.5","N","N"
"        3 or more workers, other","55","±44","1.0%","±0.8","195,287","±80,627","246","±98","4.3%","±1.7","102,749","±23,010","775","±193","11.7%","±3.0","106,074","±18,682","603","±163","8.9%","±2.4","153,301","±22,312","0","±25","0.0%","±2.3","N","N"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","28,892","±1,545","28,892","±1,545","65,404","±5,552","27,426","±1,555","27,426","±1,555","24,577","±1,877","29,570","±2,324","29,570","±2,324","24,570","±2,555","34,725","±1,556","34,725","±1,556","34,897","±2,226","26,243","±1,441","26,243","±1,441","29,056","±2,856"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","14,772","±1,258","51.1%","±4.3","99,189","±7,867","5,545","±930","20.2%","±3.1","35,207","±8,542","3,415","±874","11.5%","±2.7","24,704","±5,920","12,292","±963","35.4%","±2.6","52,031","±4,656","17,156","±1,250","65.4%","±3.0","30,365","±3,824"
"            Black or African American","4,696","±669","16.3%","±2.3","30,247","±9,200","14,951","±1,423","54.5%","±3.9","24,555","±1,963","18,953","±1,715","64.1%","±3.9","27,849","±3,767","11,923","±1,114","34.3%","±2.8","24,114","±3,600","1,623","±437","6.2%","±1.6","28,796","±19,347"
"            American Indian and Alaska Native","142","±86","0.5%","±0.3","22,463","±22,724","408","±382","1.5%","±1.4","11,422","±5,674","0","±25","0.0%","±0.1","-","**","154","±108","0.4%","±0.3","18,051","±11,179","73","±72","0.3%","±0.3","17,532","±14,308"
"            Asian","5,100","±1,059","17.7%","±3.3","34,241","±9,541","600","±226","2.2%","±0.9","21,807","±7,437","71","±55","0.2%","±0.2","42,059","±22,519","3,938","±607","11.3%","±1.6","29,073","±5,693","5,324","±625","20.3%","±2.3","30,062","±9,973"
"            Native Hawaiian and Other Pacific Islander","0","±25","0.0%","±0.1","-","**","16","±25","0.1%","±0.1","N","N","0","±25","0.0%","±0.1","-","**","0","±28","0.0%","±0.1","-","**","0","±25","0.0%","±0.2","-","**"
"            Some other race","2,701","±997","9.3%","±3.3","11,750","±3,592","3,916","±798","14.3%","±3.0","14,051","±2,270","4,319","±1,161","14.6%","±3.7","14,149","±3,129","3,724","±666","10.7%","±1.9","23,920","±4,127","634","±253","2.4%","±1.0","28,124","±19,030"
"        Two or more races","1,481","±493","5.1%","±1.7","49,179","±28,149","1,990","±481","7.3%","±1.6","19,485","±6,262","2,812","±1,081","9.5%","±3.5","17,872","±4,893","2,694","±720","7.8%","±2.0","29,101","±8,067","1,433","±462","5.5%","±1.7","10,935","±3,586"
"        Hispanic or Latino origin (of any race)","5,350","±921","18.5%","±3.0","26,021","±9,608","7,652","±876","27.9%","±3.0","13,723","±1,517","9,541","±1,560","32.3%","±4.3","15,856","±2,389","7,386","±909","21.3%","±2.5","22,209","±3,947","2,879","±600","11.0%","±2.2","23,410","±5,505"
"        White alone, not Hispanic or Latino","12,893","±1,134","44.6%","±3.7","108,962","±9,069","4,055","±831","14.8%","±2.8","43,229","±11,509","1,545","±722","5.2%","±2.4","34,328","±9,505","10,171","±908","29.3%","±2.4","57,349","±4,609","15,418","±1,203","58.8%","±3.2","31,027","±4,233"
