"Label (Grouping)","ZCTA5 02118!!Number!!Estimate","ZCTA5 02118!!Number!!Margin of Error","ZCTA5 02118!!Percent Distribution!!Estimate","ZCTA5 02118!!Percent Distribution!!Margin of Error","ZCTA5 02118!!Mean income (dollars)!!Estimate","ZCTA5 02118!!Mean income (dollars)!!Margin of Error","ZCTA5 02119!!Number!!Estimate","ZCTA5 02119!!Number!!Margin of Error","ZCTA5 02119!!Percent Distribution!!Estimate","ZCTA5 02119!!Percent Distribution!!Margin of Error","ZCTA5 02119!!Mean income (dollars)!!Estimate","ZCTA5 02119!!Mean income (dollars)!!Margin of Error","ZCTA5 02121!!Number!!Estimate","ZCTA5 02121!!Number!!Margin of Error","ZCTA5 02121!!Percent Distribution!!Estimate","ZCTA5 02121!!Percent Distribution!!Margin of Error","ZCTA5 02121!!Mean income (dollars)!!Estimate","ZCTA5 02121!!Mean income (dollars)!!Margin of Error","ZCTA5 02125!!Number!!Estimate","ZCTA5 02125!!Number!!Margin of Error","ZCTA5 02125!!Percent Distribution!!Estimate","ZCTA5 02125!!Percent Distribution!!Margin of Error","ZCTA5 02125!!Mean income (dollars)!!Estimate","ZCTA5 02125!!Mean income (dollars)!!Margin of Error","ZCTA5 02215!!Number!!Estimate","ZCTA5 02215!!Number!!Margin of Error","ZCTA5 02215!!Percent Distribution!!Estimate","ZCTA5 02215!!Percent Distribution!!Margin of Error","ZCTA5 02215!!Mean income (dollars)!!Estimate","ZCTA5 02215!!Mean income (dollars)!!Margin of Error"
"        1 worker","1,814","±276","36.4%","±4.8","160,653","±55,985","2,060","±292","36.0%","±4.9","47,496","±5,457","2,097","±324","32.3%","±5.3","42,040","±5,159","2,111","±344","31.1%","±4.4","51,423","±7,482","442","±154","28.1%","±9.0","N","N"
"        2 workers, both spouses worked","1,562","±242","31.4%","±4.6","316,784","±47,874","1,116","±240","19.5%","±3.9","138,083","±34,267","715","±200","11.0%","±3.2","102,076","±22,694","1,270","±244","18.7%","±3.2","167,371","±26,112","874","±201","55.6%","±10.4","N","N"
"        2 workers, other","606","±181","12.2%","±3.6","56,218","±12,781","1,100","±295","19.2%","±4.6","87,731","±10,649","1,229","±276","18.9%","±4.0","76,077","±10,283","1,174","±215","17.3%","±3.0","109,330","±20,592","204","±215","13.0%","±12.6","N","N"
"        3 or more workers, both spouses worked","232","±130","4.7%","±2.5","156,714","±103,659","349","±125","6.1%","±2.1","130,199","±28,379","625","±376","9.6%","±5.4","194,505","±38,891","715","±183","10.5%","±2.6","131,104","±18,153","18","±31","1.1%","±2.0","N","N"
"        3 or more workers, other","75","±54","1.5%","±1.1","346,085","±350,781","236","±98","4.1%","±1.7","112,094","±26,721","691","±177","10.6%","±2.7","139,857","±18,181","564","±173","8.3%","±2.6","142,220","±23,124","0","±25","0.0%","±2.5","N","N"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","27,718","±1,402","27,718","±1,402","71,432","±5,679","28,307","±1,685","28,307","±1,685","25,940","±2,131","29,888","±2,160","29,888","±2,160","26,111","±3,020","32,614","±1,551","32,614","±1,551","37,401","±2,295","25,856","±1,230","25,856","±1,230","29,605","±3,461"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","13,808","±1,061","49.8%","±3.3","109,263","±8,612","5,214","±877","18.4%","±2.9","38,226","±8,725","3,605","±959","12.1%","±3.1","24,534","±5,228","11,679","±896","35.8%","±2.4","54,439","±4,058","16,548","±1,051","64.0%","±2.8","31,915","±3,891"
"            Black or African American","4,819","±648","17.4%","±2.3","31,782","±10,371","14,378","±1,470","50.8%","±3.8","25,654","±2,564","17,298","±1,525","57.9%","±3.9","30,836","±4,748","10,657","±1,077","32.7%","±3.0","22,867","±2,413","1,620","±409","6.3%","±1.6","32,259","±20,247"
"            American Indian and Alaska Native","254","±166","0.9%","±0.6","10,064","±14,704","546","±437","1.9%","±1.5","14,763","±3,594","0","±25","0.0%","±0.1","-","**","197","±121","0.6%","±0.4","15,101","±10,384","116","±67","0.4%","±0.3","13,027","±11,524"
"            Asian","4,469","±1,002","16.1%","±3.3","40,743","±10,795","554","±183","2.0%","±0.7","25,834","±8,106","67","±56","0.2%","±0.2","35,040","±24,470","3,725","±738","11.4%","±2.1","38,402","±7,556","5,154","±533","19.9%","±2.0","25,507","±7,289"
"            Native Hawaiian and Other Pacific Islander","0","±25","0.0%","±0.1","-","**","14","±22","0.0%","±0.1","N","N","0","±25","0.0%","±0.1","-","**","0","±28","0.0%","±0.1","-","**","0","±25","0.0%","±0.2","-","**"
"            Some other race","2,574","±785","9.3%","±2.8","12,736","±4,329","4,224","±837","14.9%","±2.9","17,028","±2,450","4,169","±1,063","13.9%","±3.4","16,597","±3,720","3,456","±653","10.6%","±1.9","25,936","±4,848","744","±305","2.9%","±1.1","36,164","±23,242"
"        Two or more races","1,794","±484","6.5%","±1.8","56,110","±21,261","3,377","±889","11.9%","±3.2","21,230","±5,478","4,749","±1,383","15.9%","±4.2","18,321","±3,245","2,900","±598","8.9%","±1.7","36,090","±9,523","1,674","±469","6.5%","±1.7","15,054","±4,880"
"        Hispanic or Latino origin (of any race)","4,994","±791","18.0%","±2.8","27,730","±7,342","9,161","±1,224","32.4%","±3.6","15,014","±2,274","9,969","±1,359","33.4%","±3.8","16,734","±2,372","6,692","±833","20.5%","±2.4","25,614","±4,690","3,095","±607","12.0%","±2.2","26,141","±6,534"
"        White alone, not Hispanic or Latino","12,340","±991","44.5%","±3.2","118,538","±8,872","3,578","±582","12.6%","±2.0","50,959","±9,436","1,883","±701","6.3%","±2.3","34,169","±9,291","9,944","±831","30.5%","±2.2","60,153","±4,582","14,939","±1,044","57.8%","±3.0","32,673","±4,253"
